tile_m,tile_n,knl_name,co_name
160,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_160x128_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_160x128_pf2.co
160,128,_ZN5aiter46fmoe_stage1_bf16_pertokenInt8_g1u1_160x128_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_160x128_pf3.co
16,256,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_16x256_3tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_16x256_3tg_pf2.co
16,256,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_16x256_2tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_16x256_2tg_pf3.co
32,256,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_32x256_2tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_32x256_2tg_pf2.co
32,256,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_32x256_2tg_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_32x256_2tg_pf3.co
48,256,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_48x256_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_48x256_pf2.co
48,256,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_48x256_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_48x256_pf3.co
64,256,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_64x256_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_64x256_pf2.co
64,256,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_64x256_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_64x256_pf3.co
80,256,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_80x256_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_80x256_pf2.co
80,256,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_80x256_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_80x256_pf3.co
16,512,_ZN5aiter49fmoe_stage1_bf16_pertokenInt8_g1u1_16x512_2tg_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_16x512_2tg_pf2.co
16,512,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_16x512_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_16x512_pf3.co
32,512,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_32x512_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_32x512_pf2.co
32,512,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_32x512_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_32x512_pf3.co
48,512,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_48x512_pf2E,fmoe_stage1_bf16_pertokenInt8_g1u1_48x512_pf2.co
48,512,_ZN5aiter45fmoe_stage1_bf16_pertokenInt8_g1u1_48x512_pf3E,fmoe_stage1_bf16_pertokenInt8_g1u1_48x512_pf3.co
