tile_m,tile_n,knl_name,co_name
16,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_16x512_pf3.co
32,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf2.co
32,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_32x512_pf3.co
48,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf2.co
48,512,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_48x512_pf3.co
16,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_6tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_6tg_pf2.co
16,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_16x64_5tg_pf3.co
32,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf2.co
32,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_32x64_4tg_pf3.co
48,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf2.co
48,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_48x64_3tg_pf3.co
64,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_3tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_3tg_pf2.co
64,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_2tg_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_64x64_2tg_pf3.co
80,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf2.co
80,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_80x64_2tg_pf3.co
96,64,_ZN5aiter47fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_2tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_2tg_pf2.co
96,64,_ZN5aiter43fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_96x64_pf3.co
112,64,_ZN5aiter48fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_2tg_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_2tg_pf2.co
112,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_112x64_pf3.co
128,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf2.co
128,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_128x64_pf3.co
144,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf2.co
144,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_144x64_pf3.co
160,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf2E,fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf2.co
160,64,_ZN5aiter44fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf3E,fmoe_stage1_bf16_pertokenFp8_g1u1_160x64_pf3.co
