M,N,K,bias,dtype,outdtype,scaleAB
2048,8192,1024,False,torch.bfloat16,torch.bfloat16,False
4096,8192,1024,False,torch.bfloat16,torch.bfloat16,False
8192,8192,1024,False,torch.bfloat16,torch.bfloat16,False
16384,8192,1024,False,torch.bfloat16,torch.bfloat16,False
32768,8192,1024,False,torch.bfloat16,torch.bfloat16,False

1,8192,2048,False,torch.bfloat16,torch.bfloat16,False
16,8192,2048,False,torch.bfloat16,torch.bfloat16,False
32,8192,2048,False,torch.bfloat16,torch.bfloat16,False
64,8192,2048,False,torch.bfloat16,torch.bfloat16,False
128,8192,2048,False,torch.bfloat16,torch.bfloat16,False
256,8192,2048,False,torch.bfloat16,torch.bfloat16,False
512,8192,2048,False,torch.bfloat16,torch.bfloat16,False
1024,8192,2048,False,torch.bfloat16,torch.bfloat16,False
2048,8192,2048,False,torch.bfloat16,torch.bfloat16,False
4096,8192,2048,False,torch.bfloat16,torch.bfloat16,False
8192,8192,2048,False,torch.bfloat16,torch.bfloat16,False
16384,8192,2048,False,torch.bfloat16,torch.bfloat16,False
32768,8192,2048,False,torch.bfloat16,torch.bfloat16,False

1,8192,8192,False,torch.bfloat16,torch.bfloat16,False
16,8192,8192,False,torch.bfloat16,torch.bfloat16,False
32,8192,8192,False,torch.bfloat16,torch.bfloat16,False
64,8192,8192,False,torch.bfloat16,torch.bfloat16,False
128,8192,8192,False,torch.bfloat16,torch.bfloat16,False
256,8192,8192,False,torch.bfloat16,torch.bfloat16,False
512,8192,8192,False,torch.bfloat16,torch.bfloat16,False
1024,8192,8192,False,torch.bfloat16,torch.bfloat16,False
2048,8192,8192,False,torch.bfloat16,torch.bfloat16,False
4096,8192,8192,False,torch.bfloat16,torch.bfloat16,False
8192,8192,8192,False,torch.bfloat16,torch.bfloat16,False
16384,8192,8192,False,torch.bfloat16,torch.bfloat16,False
32768,8192,8192,False,torch.bfloat16,torch.bfloat16,False

1,7168,8192,False,torch.bfloat16,torch.bfloat16,False
16,7168,8192,False,torch.bfloat16,torch.bfloat16,False
32,7168,8192,False,torch.bfloat16,torch.bfloat16,False
64,7168,8192,False,torch.bfloat16,torch.bfloat16,False
128,7168,8192,False,torch.bfloat16,torch.bfloat16,False
256,7168,8192,False,torch.bfloat16,torch.bfloat16,False
512,7168,8192,False,torch.bfloat16,torch.bfloat16,False
1024,7168,8192,False,torch.bfloat16,torch.bfloat16,False
2048,7168,8192,False,torch.bfloat16,torch.bfloat16,False
4096,7168,8192,False,torch.bfloat16,torch.bfloat16,False
8192,7168,8192,False,torch.bfloat16,torch.bfloat16,False
16384,7168,8192,False,torch.bfloat16,torch.bfloat16,False
32768,7168,8192,False,torch.bfloat16,torch.bfloat16,False

1,14336,8192,False,torch.bfloat16,torch.bfloat16,False
16,14336,8192,False,torch.bfloat16,torch.bfloat16,False
32,14336,8192,False,torch.bfloat16,torch.bfloat16,False
64,14336,8192,False,torch.bfloat16,torch.bfloat16,False
128,14336,8192,False,torch.bfloat16,torch.bfloat16,False
256,14336,8192,False,torch.bfloat16,torch.bfloat16,False
512,14336,8192,False,torch.bfloat16,torch.bfloat16,False
1024,14336,8192,False,torch.bfloat16,torch.bfloat16,False
2048,14336,8192,False,torch.bfloat16,torch.bfloat16,False
4096,14336,8192,False,torch.bfloat16,torch.bfloat16,False
8192,14336,8192,False,torch.bfloat16,torch.bfloat16,False
16384,14336,8192,False,torch.bfloat16,torch.bfloat16,False
32768,14336,8192,False,torch.bfloat16,torch.bfloat16,False

1,57344,8192,False,torch.bfloat16,torch.bfloat16,False
16,57344,8192,False,torch.bfloat16,torch.bfloat16,False
32,57344,8192,False,torch.bfloat16,torch.bfloat16,False
64,57344,8192,False,torch.bfloat16,torch.bfloat16,False
128,57344,8192,False,torch.bfloat16,torch.bfloat16,False
256,57344,8192,False,torch.bfloat16,torch.bfloat16,False
512,57344,8192,False,torch.bfloat16,torch.bfloat16,False
1024,57344,8192,False,torch.bfloat16,torch.bfloat16,False
2048,57344,8192,False,torch.bfloat16,torch.bfloat16,False
4096,57344,8192,False,torch.bfloat16,torch.bfloat16,False
8192,57344,8192,False,torch.bfloat16,torch.bfloat16,False
16384,57344,8192,False,torch.bfloat16,torch.bfloat16,False
32768,57344,8192,False,torch.bfloat16,torch.bfloat16,False

1,8192,3584,False,torch.bfloat16,torch.bfloat16,False
16,8192,3584,False,torch.bfloat16,torch.bfloat16,False
32,8192,3584,False,torch.bfloat16,torch.bfloat16,False
64,8192,3584,False,torch.bfloat16,torch.bfloat16,False
128,8192,3584,False,torch.bfloat16,torch.bfloat16,False
256,8192,3584,False,torch.bfloat16,torch.bfloat16,False
512,8192,3584,False,torch.bfloat16,torch.bfloat16,False
1024,8192,3584,False,torch.bfloat16,torch.bfloat16,False
2048,8192,3584,False,torch.bfloat16,torch.bfloat16,False
4096,8192,3584,False,torch.bfloat16,torch.bfloat16,False
8192,8192,3584,False,torch.bfloat16,torch.bfloat16,False
16384,8192,3584,False,torch.bfloat16,torch.bfloat16,False
32768,8192,3584,False,torch.bfloat16,torch.bfloat16,False

1,8192,7168,False,torch.bfloat16,torch.bfloat16,False
16,8192,7168,False,torch.bfloat16,torch.bfloat16,False
32,8192,7168,False,torch.bfloat16,torch.bfloat16,False
64,8192,7168,False,torch.bfloat16,torch.bfloat16,False
128,8192,7168,False,torch.bfloat16,torch.bfloat16,False
256,8192,7168,False,torch.bfloat16,torch.bfloat16,False
512,8192,7168,False,torch.bfloat16,torch.bfloat16,False
1024,8192,7168,False,torch.bfloat16,torch.bfloat16,False
2048,8192,7168,False,torch.bfloat16,torch.bfloat16,False
4096,8192,7168,False,torch.bfloat16,torch.bfloat16,False
8192,8192,7168,False,torch.bfloat16,torch.bfloat16,False
16384,8192,7168,False,torch.bfloat16,torch.bfloat16,False
32768,8192,7168,False,torch.bfloat16,torch.bfloat16,False

1,8192,28672,False,torch.bfloat16,torch.bfloat16,False
16,8192,28672,False,torch.bfloat16,torch.bfloat16,False
32,8192,28672,False,torch.bfloat16,torch.bfloat16,False
64,8192,28672,False,torch.bfloat16,torch.bfloat16,False
128,8192,28672,False,torch.bfloat16,torch.bfloat16,False
256,8192,28672,False,torch.bfloat16,torch.bfloat16,False
512,8192,28672,False,torch.bfloat16,torch.bfloat16,False
1024,8192,28672,False,torch.bfloat16,torch.bfloat16,False
2048,8192,28672,False,torch.bfloat16,torch.bfloat16,False
4096,8192,28672,False,torch.bfloat16,torch.bfloat16,False
8192,8192,28672,False,torch.bfloat16,torch.bfloat16,False
16384,8192,28672,False,torch.bfloat16,torch.bfloat16,False
32768,8192,28672,False,torch.bfloat16,torch.bfloat16,False
