M,N,K,bias,dtype,outdtype,scaleAB
128,5120,5120,False,torch.bfloat16,torch.bfloat16,False
256,5120,5120,False,torch.bfloat16,torch.bfloat16,False
512,5120,5120,False,torch.bfloat16,torch.bfloat16,False
1024,5120,5120,False,torch.bfloat16,torch.bfloat16,False
2048,5120,5120,False,torch.bfloat16,torch.bfloat16,False
4096,5120,5120,False,torch.bfloat16,torch.bfloat16,False
8192,5120,5120,False,torch.bfloat16,torch.bfloat16,False
16384,5120,5120,False,torch.bfloat16,torch.bfloat16,False
32768,5120,5120,False,torch.bfloat16,torch.bfloat16,False

1,6400,5120,False,torch.bfloat16,torch.bfloat16,False
16,6400,5120,False,torch.bfloat16,torch.bfloat16,False
32,6400,5120,False,torch.bfloat16,torch.bfloat16,False
64,6400,5120,False,torch.bfloat16,torch.bfloat16,False
128,6400,5120,False,torch.bfloat16,torch.bfloat16,False
256,6400,5120,False,torch.bfloat16,torch.bfloat16,False
512,6400,5120,False,torch.bfloat16,torch.bfloat16,False
1024,6400,5120,False,torch.bfloat16,torch.bfloat16,False
2048,6400,5120,False,torch.bfloat16,torch.bfloat16,False
4096,6400,5120,False,torch.bfloat16,torch.bfloat16,False
8192,6400,5120,False,torch.bfloat16,torch.bfloat16,False
16384,6400,5120,False,torch.bfloat16,torch.bfloat16,False
32768,6400,5120,False,torch.bfloat16,torch.bfloat16,False

1,12800,5120,False,torch.bfloat16,torch.bfloat16,False
16,12800,5120,False,torch.bfloat16,torch.bfloat16,False
32,12800,5120,False,torch.bfloat16,torch.bfloat16,False
64,12800,5120,False,torch.bfloat16,torch.bfloat16,False
128,12800,5120,False,torch.bfloat16,torch.bfloat16,False
256,12800,5120,False,torch.bfloat16,torch.bfloat16,False
512,12800,5120,False,torch.bfloat16,torch.bfloat16,False
1024,12800,5120,False,torch.bfloat16,torch.bfloat16,False
2048,12800,5120,False,torch.bfloat16,torch.bfloat16,False
4096,12800,5120,False,torch.bfloat16,torch.bfloat16,False
8192,12800,5120,False,torch.bfloat16,torch.bfloat16,False
16384,12800,5120,False,torch.bfloat16,torch.bfloat16,False
32768,12800,5120,False,torch.bfloat16,torch.bfloat16,False

1,51200,5120,False,torch.bfloat16,torch.bfloat16,False
16,51200,5120,False,torch.bfloat16,torch.bfloat16,False
32,51200,5120,False,torch.bfloat16,torch.bfloat16,False
64,51200,5120,False,torch.bfloat16,torch.bfloat16,False
128,51200,5120,False,torch.bfloat16,torch.bfloat16,False
256,51200,5120,False,torch.bfloat16,torch.bfloat16,False
512,51200,5120,False,torch.bfloat16,torch.bfloat16,False
1024,51200,5120,False,torch.bfloat16,torch.bfloat16,False
2048,51200,5120,False,torch.bfloat16,torch.bfloat16,False
4096,51200,5120,False,torch.bfloat16,torch.bfloat16,False
8192,51200,5120,False,torch.bfloat16,torch.bfloat16,False
16384,51200,5120,False,torch.bfloat16,torch.bfloat16,False
32768,51200,5120,False,torch.bfloat16,torch.bfloat16,False

1,5120,3200,False,torch.bfloat16,torch.bfloat16,False
16,5120,3200,False,torch.bfloat16,torch.bfloat16,False
32,5120,3200,False,torch.bfloat16,torch.bfloat16,False
64,5120,3200,False,torch.bfloat16,torch.bfloat16,False
128,5120,3200,False,torch.bfloat16,torch.bfloat16,False
256,5120,3200,False,torch.bfloat16,torch.bfloat16,False
512,5120,3200,False,torch.bfloat16,torch.bfloat16,False
1024,5120,3200,False,torch.bfloat16,torch.bfloat16,False
2048,5120,3200,False,torch.bfloat16,torch.bfloat16,False
4096,5120,3200,False,torch.bfloat16,torch.bfloat16,False
8192,5120,3200,False,torch.bfloat16,torch.bfloat16,False
16384,5120,3200,False,torch.bfloat16,torch.bfloat16,False
32768,5120,3200,False,torch.bfloat16,torch.bfloat16,False

1,5120,6400,False,torch.bfloat16,torch.bfloat16,False
16,5120,6400,False,torch.bfloat16,torch.bfloat16,False
32,5120,6400,False,torch.bfloat16,torch.bfloat16,False
64,5120,6400,False,torch.bfloat16,torch.bfloat16,False
128,5120,6400,False,torch.bfloat16,torch.bfloat16,False
256,5120,6400,False,torch.bfloat16,torch.bfloat16,False
512,5120,6400,False,torch.bfloat16,torch.bfloat16,False
1024,5120,6400,False,torch.bfloat16,torch.bfloat16,False
2048,5120,6400,False,torch.bfloat16,torch.bfloat16,False
4096,5120,6400,False,torch.bfloat16,torch.bfloat16,False
8192,5120,6400,False,torch.bfloat16,torch.bfloat16,False
16384,5120,6400,False,torch.bfloat16,torch.bfloat16,False
32768,5120,6400,False,torch.bfloat16,torch.bfloat16,False

1,5120,25600,False,torch.bfloat16,torch.bfloat16,False
16,5120,25600,False,torch.bfloat16,torch.bfloat16,False
32,5120,25600,False,torch.bfloat16,torch.bfloat16,False
64,5120,25600,False,torch.bfloat16,torch.bfloat16,False
128,5120,25600,False,torch.bfloat16,torch.bfloat16,False
256,5120,25600,False,torch.bfloat16,torch.bfloat16,False
512,5120,25600,False,torch.bfloat16,torch.bfloat16,False
1024,5120,25600,False,torch.bfloat16,torch.bfloat16,False
2048,5120,25600,False,torch.bfloat16,torch.bfloat16,False
4096,5120,25600,False,torch.bfloat16,torch.bfloat16,False
8192,5120,25600,False,torch.bfloat16,torch.bfloat16,False
16384,5120,25600,False,torch.bfloat16,torch.bfloat16,False
32768,5120,25600,False,torch.bfloat16,torch.bfloat16,False
